country,genre,original_title,public,score,stars,storyline,time,title,year
Turkey,Comedy,,2004–2009,8.6,"Gülse Birsel,Levent Üzümcü,Senay Gürler",The life and times of the rather traditional Sutcuoglu family and their comedic struggles to adapt the high-profile contemporary life of Nisantasi.,,Avrupa Yakasi,2004–2009
United States,"Comedy,Crime,Drama",,TV-14,8.5,"Harry Tyler,Alfred Hitchcock,John Williams","Series of unrelated short stories covering elements of crime, horror, drama, and comedy about people of different backgrounds committing murders, suicides, thefts, and other sorts of crime c...",25,Alfred Hitchcock Presents,1955–1962
United States,"Crime,Drama,Mystery",,TV-MA,8.5,"Bill Camp,Riz Ahmed,John Turturro","After a night of partying with a woman he picked up, a man wakes up to find her stabbed to death and is charged with her murder.",525,The Night Of,2016
Japan,"Animation,Comedy,Drama",Shigatsu wa kimi no uso,TV-PG,8.6,"Ayane Sakura,Risa Taneda,Natsuki Hanae",A piano prodigy who lost his ability to play after suffering a traumatic event in his childhood is forced back into the spotlight by an eccentric girl with a secret of her own.,23,Your Lie in April,2014–2018
United Kingdom,Comedy,,TV-MA,8.5,"Saoirse-Monica Jackson,Tara Lynne O'Neill,Louisa Harland",The personal exploits of a 16-year-old girl and her family and friends during the Troubles in the early 1990s in Northern Ireland.,30,Derry Girls,2018–2022
United States,Comedy,,TV-MA,8.5,"James Rolfe,Mike Matei,Kyle Rogers",A foul-mouthed nerd reviews bad video games.,35,The Angry Video Game Nerd,2004– 
"Italy,United States",Drama,L'amica geniale,TV-MA,8.6,"Margherita Mazzucco,Gaia Girace,Alba Rohrwacher",A woman recounts the lifelong friendship and conflicts with a girl she met at primary school in Naples during the early 1950s.,60,My Brilliant Friend,2018– 
"United States,United Kingdom","Drama,War",,TV-MA,8.5,"Lee Tergesen,Alexander Skarsgård,James Ransone","A Rolling Stone reporter, embedded with The 1st Recon Marines chronicles his experiences during the first wave of the American-led assault on Baghdad in 2003.",70,Generation Kill,2008
Australia,"Crime,Drama,Thriller",,TV-MA,8.6,"Kate Atkinson,Katrina Milosevic,Robbie Magasiva",The confronting look into the lives of the inmates and prison staff of Wentworth Correctional Centre as they navigate the ups and downs of their lives in the prison system.,45,Wentworth,2013–2021
United States,Documentary,,TV-MA,8.5,"Francis Mallmann,Bill Buford,Massimo Bottura","Chef's Table goes inside the lives and kitchens of six of the world's most renowned international chefs. Each episode focuses on a single chef and their unique look at their lives, talents a...",50,Chef's Table,2015–2019
United States,"Action,Comedy,Drama",,TV-14,8.5,"William Zabka,Ralph Macchio,Courtney Henggeler","Decades after their 1984 All Valley Karate Tournament bout, a middle-aged Daniel LaRusso and Johnny Lawrence find themselves martial-arts rivals again.",30,Cobra Kai,2018–2023
Japan,"Animation,Action,Adventure",,TV-MA,8.5,"Junya Enoki,Yûichi Nakamura,Adam McArthur",A boy swallows a cursed talisman - the finger of a demon - and becomes cursed himself. He enters a shaman's school to be able to locate the demon's other body parts and thus exorcise himself...,24,Jujutsu Kaisen,2020– 
United States,Comedy,,TV-14,8.5,"Donald Glover,Joel McHale,Danny Pudi",A suspended lawyer is forced to enroll in a community college with an eccentric staff and student body.,22,Community,2009–2015
United States,"Crime,Drama,Horror",,TV-MA,8.5,"Mads Mikkelsen,Caroline Dhavernas,Hugh Dancy",Explores the early relationship between renowned psychiatrist Hannibal Lecter and a young FBI criminal profiler who is haunted by his ability to empathize with serial killers.,44,Hannibal,2013–2015
United States,"Animation,Action,Adventure",,TV-PG,8.5,"J.G. Quintel,William Salyers,Sam Marin",The daily surreal adventures of a blue jay and raccoon duo that attempt to deal with their mundane jobs as groundskeepers at the local park.,23,Regular Show,2009–2017
Romania,"Crime,Drama,Thriller",,TV-MA,8.7,"Andreea Vasile,Maria Obretin,Serban Pavlu","Umbre follows Relu, an enforcer for a small-time mob boss, as he struggles to keep his family in the dark about his job. The secrets Relu keeps become increasingly oppressive and the lies be...",45,Umbre,2014–2019
"Canada,United States",Comedy,,TV-14,8.5,"Catherine O'Hara,Dan Levy,Eugene Levy","After being a victim of fraud, Johnny Rose and his family go from extremely wealthy to penniless overnight. The only asset left to them is a small, unsophisticated town: Schitt's Creek. They...",22,Schitt's Creek,2015–2020
United States,"Drama,Mystery,Sci-Fi",,TV-14,8.5,"Steven Strait,Dominique Tipper,Wes Chatham","In the 24th century, a group of humans untangle a vast plot which threatens the Solar System's fragile state of detente.",60,The Expanse,2015–2022
Japan,"Animation,Action,Adventure",Rurouni Kenshin: Meiji Kenkaku Romantan: Tsuioku Hen,TV-MA,8.6,"Nozomu Sasaki,Junko Iwao,Mayo Suzukaze","In the era of Japan's Meiji Restoration, an assassin regains his humanity.",118,Rurouni Kenshin: Trust and Betrayal,1999
United Kingdom,"Crime,Drama,Thriller",,TV-MA,8.5,"James Norton,Siobhan Finneran,Sarah Lancashire",Yorkshire-based crime drama centering on the personal and professional life of Police Sergeant Catherine Cawood.,58,Happy Valley,2014–2023
United States,"Animation,Adventure,Comedy",,TV-14,8.5,"Katey Sagal,John DiMaggio,Billy West","Philip J. Fry, a pizza delivery boy, is accidentally frozen in 1999 and thawed out on New Year's Eve 2999.",22,Futurama,1999–2023
United States,Comedy,,TV-MA,8.5,"T.J. Miller,Josh Brener,Thomas Middleditch","Follows the struggle of Richard Hendricks, a Silicon Valley engineer trying to build his own company called Pied Piper.",28,Silicon Valley,2014–2019
India,"Drama,History",,2022– ,8.9,"Regina Cassandra,Jim Sarbh,Saba Azad","The story of two extraordinary men, Dr. Homi Jehangir Bhabha and Dr. Vikram Ambalal Sarabhai, who created history while building India's future.",,Rocket Boys,2022– 
United States,"Action,Adventure,Biography",,TV-MA,8.5,"Manu Bennett,Peter Mensah,John Hannah","In the time before the arrival of Spartacus, the House of Batiatus faces many challenges from competitors, and within its own household.",331,Spartacus: Gods of the Arena,2011
United States,"Action,Drama,History",,TV-14,8.6,"Nick Searcy,Tom Hanks,Lane Smith",Dramatized portrayal of the Apollo manned space program.,60,From the Earth to the Moon,1998
Norway,"Drama,Romance",,Not Rated,8.6,"Josefine Frida Pettersen,Ulrikke Falch,Iman Meskini","The story of young teenagers and pupils on Hartvig Nissens upper secondary school in Oslo, and their troubles, scandals and everyday life. Each season is told from a different person's point...",30,Skam,2015–2017
United States,"Crime,Drama,Horror",,TV-MA,8.5,"Michael Horse,Sheryl Lee,Kyle MacLachlan",Picks up 25 years after the inhabitants of a quaint northwestern town are stunned when their homecoming queen is murdered.,60,Twin Peaks,2017
United Kingdom,"Drama,Romance",,TV-PG,8.6,"Tim Pigott-Smith,Richard Armitage,Daniela Denby-Ashe","North and South is a four part adaptation of Elizabeth Gaskell's love story of Margaret Hale, a middle class southerner who is forced to move to the northern town of Milton.",235,North & South,2004
Australia,"Crime,Drama",,TV-MA,8.6,"Justin Rosniak,Scott Ryan,Chika Yasumura","Ray Shoesmith is a father, ex-husband, boyfriend, brother and best friend, tough roles to juggle in the modern age. Especially when you're also a criminal for hire.",30,Mr Inbetween,2018–2021
"United Kingdom,United States","Adventure,Drama,Sci-Fi",,TV-PG,8.6,"Jodie Whittaker,Pearl Mackie,Peter Capaldi",The further adventures in time and space of the alien adventurer known as the Doctor and their companions from planet Earth.,45,Doctor Who,2005– 
United States,"Drama,Mystery,Sci-Fi",,TV-MA,8.5,"Ed Harris,Jeffrey Wright,Evan Rachel Wood","At the intersection of the near future and the reimagined past, waits a world in which every human appetite can be indulged without consequence.",62,Westworld,2016–2022
"Japan,Poland","Animation,Action,Adventure",Hagane no renkinjutsushi,TV-PG,8.5,"Aaron Dismuke,Romi Park,Vic Mignogna","When a failed alchemical ritual leaves brothers Edward and Alphonse Elric with severely damaged bodies, they begin searching for the one thing that can save them: the fabled philosopher's st...",24,Fullmetal Alchemist,2003–2004
Canada,"Comedy,Crime",,TV-MA,8.6,"Robb Wells,John Paul Tremblay,Mike Smith",Three petty felons have a documentary made about their life in a trailer park.,30,Trailer Park Boys,2001–2018
United Kingdom,Comedy,,TV-MA,8.6,"Mark Heap,Christopher Morris,Kevin Eldon","Controversal spoof of current affairs television, and the role of celebrity in the UK.",25,Brass Eye,1997–2001
Japan,"Animation,Action,Drama",Shin seiki evangerion,TV-MA,8.5,"Kotono Mitsuishi,Megumi Hayashibara,Megumi Ogata",A teenage boy finds himself recruited as a member of an elite team of pilots by his father.,24,Neon Genesis Evangelion,1995–1996
South Korea,Drama,I-sang-han byeon-ho-sa U-yeong-u,TV-14,8.7,"Kang Tae-oh,Kang Ki-young,Park Eun-bin","Due to her 164 I.Q., impressive memory and creative thought process, autistic 27-year-old lawyer Woo Young Woo graduated at the top of her class from a prestigious law school.",75,Extraordinary Attorney Woo,2022
United Kingdom,Comedy,,TV-14,8.6,"Mackenzie Crook,Toby Jones,Rachael Stirling","The lives of two eccentric metal detectorists, who spend their days plodding along ploughed tracks and open fields, hoping to disturb the tedium by unearthing the fortune of a lifetime.",30,Detectorists,2014–2022
United States,"Action,Adventure,Biography",Spartacus: Blood and Sand,TV-MA,8.5,"Manu Bennett,Andy Whitfield,Lucy Lawless","The life of Spartacus, the gladiator who lead a rebellion against the Romans. From his time as an ally of the Romans, to his betrayal and becoming a gladiator, to the rebellion he leads and ...",55,Spartacus,2010–2013
United Kingdom,"Crime,Drama,Mystery",,TV-14,8.6,"James Bradshaw,Roger Allam,Shaun Evans","Set from 1965 into the 1970s, the show follows Endeavour Morse in his early years as a police constable. Working alongside his senior partner DI Fred Thursday, Morse engages in a number of i...",89,Endeavour,2012–2023
United States,"Crime,Drama,Thriller",,TV-MA,8.6,"Mark Boone Junior,Katey Sagal,Charlie Hunnam",A biker struggles to balance being a father and being involved in an outlaw motorcycle club.,45,Sons of Anarchy,2008–2014
United States,"Comedy,Drama",,TV-MA,8.6,"Emmy Rossum,Ethan Cutkosky,William H. Macy","A scrappy, feisty, fiercely loyal Chicago family makes no apologies.",46,Shameless,2011–2021
Turkey,"Crime,Drama,Thriller",,TV-14,8.7,"Kenan Imirzalioglu,Yigit Özsener,Cansu Dere","Betrayed by his trusted friends and the woman he loved, Ömer Uçar returns as Ezel to exact his vengeance.",90,Ezel,2009–2011
United States,"Animation,Action,Adventure",,TV-MA,8.5,"Mako,Phil LaMarr,Kevin Michael Richardson","A samurai, sent through time, fights to return home and save the world.",25,Samurai Jack,2001–2017
Canada,Comedy,,TV-MA,8.7,"Michelle Mylett,Jared Keeso,Nathan Dales","Quick-witted, fast-paced snappy comedy about rural folk getting by in a small town.",30,Letterkenny,2016– 
United Kingdom,"Comedy,Drama",,TV-MA,8.5,"Ricky Gervais,Martin Freeman,Mackenzie Crook",The story of an office that faces closure when the company decides to downsize its branches. A documentary film crew follow staff and the manager David Brent as they continue their daily liv...,30,The Office,2001–2003
Japan,"Animation,Action,Comedy",,TV-14,8.6,"Takahiro Sakurai,Chris Niosi,Setsuo Ito","A psychic middle school boy tries to live a normal life and keep his growing powers under control, even though he constantly gets into trouble.",24,Mob Psycho 100,2016–2022
"United States,United Kingdom","Comedy,Game-Show",,TV-PG,8.5,"Colin Mochrie,Drew Carey,Ryan Stiles",Improvisational comedy competition show in which four members of the regular cast as comedians and often with guest appearances with other comedians and celebrities and members of the audien...,30,Whose Line Is It Anyway?,1998–2007
United States,Documentary,,TV-PG,8.6,"Morgan Freeman,Michio Kaku,Sean Carroll","Hosted by Morgan Freeman, Through the Wormhole will explore the deepest mysteries of existence - the questions that have puzzled mankind for eternity. What are we made of? What was there bef...",60,Through the Wormhole,2010–2017
United States,"Documentary,Comedy",,TV-MA,8.6,"Journey Baker,Anna Lamadrid,Nathan Fielder",Nathan Fielder gives people a chance to rehearse for their own lives in a world where nothing ever works out as expected.,30,The Rehearsal,2022– 
United Kingdom,Comedy,,TV-14,8.5,"Chris O'Dowd,Richard Ayoade,Katherine Parkinson","The comedic misadventures of Roy, Moss and their grifting supervisor Jen, a rag-tag team of IT support workers at a large corporation headed by a hotheaded yuppie.",25,The IT Crowd,2006–2013
United States,"Crime,Drama,Thriller",,TV-MA,8.5,"Rami Malek,Carly Chaikin,Christian Slater","Elliot, a brilliant but highly unstable young cyber-security engineer and vigilante hacker, becomes a key figure in a complex game of global dominance when he and his shadowy allies try to t...",49,Mr. Robot,2015–2019
United States,"Comedy,Drama",,TV-MA,8.5,"Ursula Parker,Louis C.K.,Hadley Delany","The life of Louie C.K., a divorced comedian living in New York with two kids.",22,Louie,2010–2015
United Kingdom,Comedy,,TV-MA,8.6,"Simon Greenall,Steve Coogan,Felicity Montagu","A failed television presenter, now presenting a programme on local desperately tries to revive his broadcasting career.",29,I'm Alan Partridge,1997–2002
India,"Action,Comedy,Drama",,TV-14,8.7,"Manoj Bajpayee,Priyamani,Samantha Ruth Prabhu","A working man from the National Investigation Agency tries to protect the nation from terrorism, but he also needs to keep his family safe from his secret job.",45,The Family Man,2019– 
United Kingdom,Comedy,,TV-PG,8.6,"Paul Eddington,Derek Fowlds,Nigel Hawthorne",James Hacker was propelled along the corridors of power to the very pinnacle of politics - Number 10.,30,"Yes, Prime Minister",1986–1987
Japan,"Animation,Action,Adventure",Samurai chanpurû,TV-MA,8.6,"Kazuya Nakai,Ayako Kawasumi,Ginpei Sato","Fuu, a waitress who works in a teahouse, rescues two master swordsmen, Mugen and Jin, from their execution to help her find the ""samurai who smells of sunflowers.""",24,Samurai Champloo,2004–2005
United Kingdom,"Documentary,Sport",,TV-MA,8.6,"Jack Nicholls,Will Buxton,Daniel Ricciardo",Docuseries following the FIA Formula One World Championship across multiple seasons.,40,Formula 1: Drive to Survive,2019– 
Serbia,"Crime,Drama,Thriller",Senke nad Balkanom,TV-MA,8.9,"Marija Bergam,Andrija Kuzmanovic,Dragan Bjelogrlic","A historical fiction drama and thriller set in the turbulent period of the late 1920s in the Balkans as a place where high politics, local interests, capital and crime all merge together.",60,Black Sun,2017– 
United States,"Comedy,Fantasy,Horror",,TV-MA,8.6,"Kayvan Novak,Natasia Demetriou,Matt Berry",A look into the nightly lives of four vampires who have lived together on Staten Island for over a century.,30,What We Do in the Shadows,2019– 
United Kingdom,"Documentary,Adventure",,TV-PG,8.6,"David Alexanian,Charley Boorman,Ewan McGregor","This documentary series follows actors Ewan McGregor and Charley Boorman on a motorcycle trip around the world. The two friends will travel through such places as Siberia, Kazakhstan, Mongol...",315,Long Way Round,2004–2010
United States,"Comedy,Reality-TV",,TV-14,8.6,"James Murray,Brian Quinn,Sal Vulcano","Q, Sal, Joe and Murr are real-life best friends who love challenging each other to the most outrageous dares and stunts ever caught on hidden camera.",30,Impractical Jokers,2011– 
United Kingdom,"Action,Comedy",,TV-14,8.6,"Jessica Hynes,Simon Pegg,Julia Deakin","Friends Tim and Daisy, 20-something North Londoners with uncertain futures, must pretend to be a couple to live in the only apartment they can afford.",25,Spaced,1999–2001
United Kingdom,"Comedy,Romance",,TV-14,8.6,"Sarah Alexander,Jack Davenport,Gina Bellman",Six best friends talk about all aspects of sex and relationships on their never-ending quest to find true love.,30,Coupling,2000–2004
France,"Drama,Thriller",Le Bureau des Légendes,TV-MA,8.7,"Jonathan Zaccaï,Florence Loiret Caille,Mathieu Kassovitz",,52,The Bureau,2015– 
United States,"Animation,Action,Adventure",,TV-14,8.6,"Doc Hammer,James Urbaniak,Christopher McCulloch","The bizarre escapades of pseudo-heroic scientist Dr. Rusty Venture, his competent, high-strung bodyguard, and his two overenthusiastic sons.",22,The Venture Bros.,2003–2018
Japan,"Animation,Action,Adventure",Dragon Ball: Doragon bôru,TV-14,8.6,"Brice Armstrong,Masako Nozawa,Jôji Yanami","Son Gokû, a fighter with a monkey tail, goes on a quest with an assortment of odd characters in search of the Dragon Balls, a set of crystals that can give its bearer anything they desire.",25,Dragon Ball,1986–1989
Mexico,"Comedy,Family",,TV-PG,8.7,"Carlos Villagrán,Ramón Valdés,Roberto Gómez Bolaños","The misadventures of a poor, homeless, fumbling boy and his friends in their humble neighborhood.",30,El Chavo del Ocho,1972–1983
"United States,New Zealand","Comedy,Music,Musical",,TV-MA,8.6,"Rhys Darby,Jemaine Clement,Bret McKenzie","Bret and Jemaine are Flight of the Conchords, a folk-rock band from New Zealand living in New York City in search of stardom.",28,Flight of the Conchords,2007–2009
Japan,"Animation,Action,Adventure",,TV-14,8.6,"Stephanie Nadolny,Brice Armstrong,Steve Olson","Dragon Ball tells the tale of a young warrior by the name of Son Goku, a young peculiar boy with a tail who embarks on a quest to become stronger and learns of the Dragon Balls, when, once a...",24,Dragon Ball,1995–2003
United States,"Animation,Action,Adventure",,TV-PG,8.6,"Michael Rosenbaum,Phil LaMarr,Carl Lumbly",Seven of the most formidable heroes form arguably the most powerful team ever.,22,Justice League,2001–2004
United States,"Crime,Drama,Mystery",,TV-14,8.7,"Yaphet Kotto,Richard Belzer,Clark Johnson",Life on the Street is an American police procedural television series chronicling the work of a fictional version of the Baltimore Police Department's Homicide Unit.,60,Homicide: Life on the Street,1993–1999
United States,Drama,,TV-MA,8.6,"Chloe Pirrie,Bill Camp,Anya Taylor-Joy","Orphaned at the tender age of nine, prodigious introvert Beth Harmon discovers and masters the game of chess in 1960s USA. But child stardom comes at a price.",60,The Queen's Gambit,2020
United States,"Animation,Comedy",,TV-G,8.6,"Mel Blanc,Daws Butler,June Foray",TV series featuring the classic Looney Tunes animated shorts.,30,The Bugs Bunny Show,1960–1975
United States,"Comedy,Talk-Show",,TV-MA,8.6,"Hannibal Buress,Eric André,Tom Ato","Eric Andre tries to host a talk show in a bizarre environment, where he is sometimes the player of pranks and sometimes the victim.",11,The Eric Andre Show,2012– 
United States,"Action,Adventure,Drama",,TV-14,8.5,"Katee Sackhoff,Mary McDonnell,Edward James Olmos","Following the destruction of the Twelve Colonies of Kobol by the Cylons, a rag-tag fugitive fleet of the last remnants of mankind flees the pursuing Cylons while simultaneously searching for...",183,Battlestar Galactica,2003
United States,"Drama,Horror,Mystery",,TV-MA,8.6,"Henry Thomas,Carla Gugino,Michiel Huisman","Flashing between past and present, a fractured family confronts haunting memories of their old home and the terrifying events that drove them from it.",572,The Haunting of Hill House,2018
United States,Drama,,TV-MA,8.6,"Jeff Daniels,John Gallagher Jr.,Emily Mortimer","A newsroom undergoes some changes in its workings and morals as a new team is brought in, bringing unexpected results for its existing news anchor.",55,The Newsroom,2012–2014
South Korea,"Adventure,Comedy,Romance",Sa-rang-eui bul-shi-chak,TV-14,8.7,"Son Ye-jin,Seo Ji-hye,Hyun Bin",The absolute top secret love story of a chaebol heiress who made an emergency landing in North Korea because of a paragliding accident and a North Korean special officer who falls in love wi...,70,Crash Landing on You,2019–2020
United States,"Crime,Drama",,TV-MA,8.6,"Kelly Macdonald,Steve Buscemi,Michael Shannon",An Atlantic City politician plays both sides of the law by conspiring with gangsters during the Prohibition era.,55,Boardwalk Empire,2010–2014
United States,"Documentary,Crime",,TV-14,8.6,"Laura Nirider,Dolores Avery,Steven Avery","Filmed over a 10-year period, Steven Avery, a DNA exoneree who, while in the midst of exposing corruption in local law enforcement, finds himself the prime suspect in a grisly new crime.",60,Making a Murderer,2015–2018
United Kingdom,Comedy,,TV-PG,8.7,"Paul Eddington,Derek Fowlds,Nigel Hawthorne",The Right Honorable James Hacker has landed the plum job of Cabinet Minister to the Department of Administration. At last he is in a position of power and can carry out some long-needed refo...,30,Yes Minister,1980–1984
United States,"Action,Crime,Drama",,TV-MA,8.6,"Nick Searcy,Joelle Carter,Timothy Olyphant","U.S. Marshal Raylan Givens is reassigned from Miami to his childhood home in the poor, rural coal mining towns of eastern Kentucky.",44,Justified,2010–2015
United States,Drama,,TV-MA,8.6,"Michaela Jaé (MJ) Rodriguez,Indya Moore,Dominique Jackson","In the New York of the late '80s and early '90s, this is a story of ball culture and the gay and trans community, the raging AIDS crisis, and capitalism.",60,Pose,2018–2021
United Kingdom,"Comedy,Game-Show",,TV-PG,8.6,"Alan Davies,Sandi Toksvig,Stephen Fry","A comedy panel game in which being Quite Interesting is more important than being right. Sandi Toksvig is joined each week by four comedians to share anecdotes and trivia, and maybe answer s...",30,QI,2003– 
United States,Drama,,TV-MA,8.6,"Peter Sarsgaard,Michael Stuhlbarg,Michael Keaton","The series takes viewers to the epicenter of America's struggle with opioid addiction, from the boardrooms of Purdue Pharma, to a distressed Virginia mining community, to the hallways of the...",492,Dopesick,2021
United Kingdom,"Crime,Drama,Mystery",,TV-14,8.6,"Hugh Fraser,David Suchet,Philip Jackson","The cases of eccentric, but sharp, Belgian detective Hercule Poirot.",100,Poirot,1989–2013
Canada,"Drama,Family",Anne,TV-PG,8.7,"R.H. Thomson,Amybeth McNulty,Geraldine James","The adventures of a young orphan girl living in the early 19th century. Follow Anne as she learns to navigate her new life on Prince Edward Island, in this new take on L.M. Montgomery's clas...",60,Anne with an E,2017–2019
United Kingdom,"Comedy,Family",,TV-G,8.6,"Rowan Atkinson,Matilda Ziegler,Robin Driscoll","Bumbling, childlike Mr. Bean has trouble completing the simplest of day-to-day tasks, but his perseverance and resourcefulness frequently allow him to find ingenious ways around problems.",25,Mr. Bean,1990–1995
Japan,"Animation,Comedy,Drama",Haikyuu!!,TV-14,8.7,"Yu Hayashi,Ayumu Murase,Kaito Ishikawa","Determined to be like the volleyball championship's star player nicknamed ""the small giant"", Shoyo joins his school's volleyball club.",24,Haikyu!!,2014–2020
United Kingdom,"Drama,Romance",,TV-14,8.7,"Yasmin Finney,Kit Connor,Joe Locke",Teens Charlie and Nick discover their unlikely friendship might be something more as they navigate school and young love in this coming-of-age series.,30,Heartstopper,2022– 
United States,"Biography,Drama",,TV-MA,8.7,"Dan Fogler,Miles Teller,Matthew Goode",Oscar-winning producer Albert S. Ruddy's never-before-revealed experiences of making The Godfather (1972).,586,The Offer,2022
United States,"Animation,Action,Adventure",,TV-PG,8.6,"Danica McKellar,Nolan North,Jesse McCartney",Teenage superheroes strive to prove themselves as members of the Justice League.,23,Young Justice,2010–2022
United Kingdom,Comedy,,TV-PG,8.6,"Rowan Atkinson,Hugh Laurie,Tony Robinson","In the Regency era, Mr E. Blackadder serves as butler to the foppish numskull Prince George amidst the fads and crazes of the time.",180,Blackadder the Third,1987
"Italy,Germany","Crime,Drama,Thriller",Gomorra: La serie,TV-MA,8.7,"Ivana Lotito,Salvatore Esposito,Marco D'Amore",Ciro disregards tradition in his attempt to become the next boss of his crime syndicate. The internal power struggle puts him and his entire family's life at risk.,55,Gomorrah,2014–2021
United States,"Drama,Western",,TV-MA,8.7,"Luke Grimes,Kevin Costner,Kelly Reilly",A ranching family in Montana faces off against others encroaching on their land.,60,Yellowstone,2018–2023
United States,"Comedy,Sci-Fi",,TV-14,8.7,"Trace Beaulieu,Michael J. Nelson,Joel Hodgson","In the not-too-distant future Joel Robinson is held captive by Dr. Forrester and TV's Frank, forced to watch B-Grade movies on the Satellite of Love with the help of his robot friends: Cambo...",92,Mystery Science Theater 3000,1988–1999
United Kingdom,"Crime,Drama,Mystery",,TV-PG,8.7,"Edward Hardwicke,Jeremy Brett,Rosalie Williams","Sherlock Holmes and Dr Watson solve the mysteries of the devil's foot, Silver Blaze, Wisteria Lodge and the Bruce-Partington Plans.",60,The Return of Sherlock Holmes,1986–1988
United States,"Crime,Drama,Mystery",,TV-MA,8.6,"Anna Torv,Holt McCallany,Jonathan Groff","Set in the late 1970s, two FBI agents are tasked with interviewing serial killers to solve open cases.",60,Mindhunter,2017–2019
United States,"Animation,Action,Adventure",,TV-PG,8.6,"Jeremy Shada,John DiMaggio,Tom Kenny","A twelve-year-old boy and his best friend, a wise twenty-eight-year-old dog with magical powers, go on a series of surreal adventures in a remote future.",11,Adventure Time,2010–2018
Japan,"Animation,Action,Adventure",Kimetsu no Yaiba,TV-MA,8.7,"Yoshitsugu Matsuoka,Zach Aguilar,Natsuki Hanae","A family is attacked by demons and only two members survive - Tanjiro and his sister Nezuko, who is turning into a demon slowly. Tanjiro sets out to become a demon slayer to avenge his famil...",24,Demon Slayer: Kimetsu no Yaiba,2019– 
India,"Comedy,Drama,Family",,TV-14,9.0,"Mona Singh,Vishesh Bansal,Akarsh Khurana",Set in the summer of 1998 it is a story about conflicting emotions towards family members from the eyes of a twelve year old.,30,Yeh Meri Family,2018
United States,"Animation,Action,Comedy",,TV-MA,8.6,"Amber Nash,H. Jon Benjamin,Judy Greer",Covert black ops and espionage take a back seat to zany personalities and relationships between secret agents and drones.,22,Archer,2009– 
India,"Adventure,Drama,Family",,TV-14,9.0,"Deepika Chikhalia,Arun Govil,Sunil Lahri","An adaptation of the ancient epic, in which the exiled Prince Rama and his brother Laxman set out to save Rama's wife, Sita, who has been kidnapped by the demon king of Lanka Ravana.",30,Ramayan,1987–1988
United States,"Adventure,Drama,Western",,TV-14,8.7,"Tommy Lee Jones,Danny Glover,Robert Duvall",Two former Texas Rangers renew their spirit of adventure as they and several other residents of a small Texas town join a cattle drive to the Montana Territory.,384,Lonesome Dove,1989
United Kingdom,"Comedy,Drama,History",,TV-MA,8.7,"Shaun Dooley,Olly Alexander,Nathaniel Curtis","A chronicle of four friends during a decade in which everything changed, including the rise of AIDS.",239,It's a Sin,2021
Japan,"Animation,Crime,Drama",,TV-14,8.7,"Hidenobu Kiuchi,Mamiko Noto,Liam O'Brien",A brilliant neurosurgeon finds his life in utter turmoil after getting involved with a psychopathic former patient.,24,Monster,2004–2005
"Sweden,Denmark,Germany,Norway","Crime,Mystery,Thriller",Bron/Broen,TV-MA,8.6,"Sofia Helin,Sarah Boberg,Rafael Pettersson","When a body is found on the bridge between Denmark and Sweden, right on the border, Danish inspector Martin Rohde and Swedish Saga Norén have to share jurisdiction and work together to find ...",60,The Bridge,2011–2018
United States,"Adventure,Fantasy",,TV-14,9.3,"Matthew Mercer,Marisha Ray,Liam O'Brien","A live weekly show in which a band of professional voice actors improvise, role-play, and roll their way through an epic Dungeons and Dragons campaign.",180,Critical Role,2015– 
United States,"Action,Crime,Drama",,TV-MA,8.6,"Charlie Cox,Deborah Ann Woll,Vincent D'Onofrio","A blind lawyer by day, vigilante by night. Matt Murdock fights the crime of New York as Daredevil.",54,Daredevil,2015–2018
Japan,"Animation,Action,Drama",Code Geass: Hangyaku no Lelouch,TV-14,8.7,"Jun Fukuyama,Johnny Yong Bosch,Takahiro Sakurai","After being given a mysterious power to control others, an outcast prince becomes the masked leader of the rebellion against an all-powerful empire.",24,Code Geass,2006–2008
Japan,"Animation,Action,Adventure",Bleach: Sennen Kessen-hen,TV-MA,9.0,"Takayuki Sugô,Johnny Yong Bosch,Masakazu Morita","The peace is suddenly broken when warning sirens blare through the Soul Society. Residents are disappearing without a trace and nobody knows who's behind it. Meanwhile, a darkness is approac...",24,Bleach: Thousand-Year Blood War,2022– 
United States,"Documentary,Biography,Crime",,TV-14,8.6,"Robert Durst,Gary Napoli,Andrew Jarecki","Filmmaker Andrew Jarecki examines the complicated life of reclusive real estate icon Robert Durst, the key suspect in a series of unsolved crimes.",279,The Jinx: The Life and Deaths of Robert Durst,2015
United Kingdom,Comedy,,TV-PG,8.6,"Rowan Atkinson,Tim McInnerny,Tony Robinson","In the Tudor court of Elizabeth I, Lord Edmund Blackadder strives to win Her Majesty's favour while attempting to avoid a grisly fate should he offend her.",176,Blackadder II,1986
United States,"Animation,Action,Adventure",,TV-MA,8.7,"Laëtitia Eïdo,Aaron LaPlante,Fred Tatasciore",A caveman and a dinosaur bond over shared tragedy and work together to survive in a perilous prehistoric world.,22,Primal,2019– 
Japan,"Animation,Action,Adventure",Naruto: Shippûden,TV-PG,8.7,"Junko Takeuchi,Maile Flanagan,Alexandre Crepet","Naruto Uzumaki, is a loud, hyperactive, adolescent ninja who constantly searches for approval and recognition, as well as to become Hokage, who is acknowledged as the leader and strongest of...",24,Naruto: Shippuden,2007–2017
