country,genre,original_title,public,score,stars,storyline,time,title,year
United States,"Animation,Comedy",,TV-14,8.7,"Trey Parker,Matt Stone,Isaac Hayes","Follows the misadventures of four irreverent grade-schoolers in the quiet, dysfunctional town of South Park, Colorado.",22,South Park,1997– 
United Kingdom,"Biography,Drama,History",,Not Rated,8.8,"Siân Phillips,Derek Jacobi,John Hurt","The personal and governmental affairs of the Julio-Claudian dynasty at the beginning of the Roman Empire, as recalled by one of its rulers.",669,"I, Claudius",1976
Japan,"Animation,Action,Adventure",Dragon Ball Z: Doragon bôru zetto,TV-PG,8.8,"Kyle Hebert,Masako Nozawa,Jôji Yanami","The adventures of Earth's martial arts defender, Son Goku, continue with a new family and the revelation of his alien origins. Now Goku and his allies must defend the planet from an onslaugh...",24,Dragon Ball Z,1989–1996
Japan,"Animation,Action,Adventure",One Piece: Wan pîsu,TV-14,8.9,"Mayumi Tanaka,Tony Beck,Laurent Vernin","Follows the adventures of Monkey D. Luffy and his pirate crew in order to find the greatest treasure ever left by the legendary Pirate, Gold Roger. The famous mystery treasure named ""One Pie...",24,One Piece,1999– 
United States,"Comedy,Music",,TV-MA,8.8,"Rudy Rush,Dave Chappelle,Donnell Rawlings",Comedian Dave Chappelle hosts this sketch-comedy show that parodies many of the nuances of race and culture.,22,Chappelle's Show,2003–2006
"Japan,United States,Canada","Animation,Action,Adventure",,TV-PG,8.8,"Doc Harris,Scott McNeil,Christopher Sabat","With the help of the powerful Dragonballs, a team of fighters led by the saiyan warrior Goku defend the planet earth from extraterrestrial enemies.",24,Dragon Ball Z,1989–1996
"United States,Colombia","Biography,Crime,Drama",,TV-MA,8.8,"Boyd Holbrook,Pedro Pascal,Wagner Moura","A chronicled look at the criminal exploits of Colombian drug lord Pablo Escobar, as well as the many other drug kingpins who plagued the country through the years.",49,Narcos,2015–2017
"United Kingdom,United States","Drama,Mystery,Sci-Fi",,TV-MA,8.8,"Daniel Lapaine,Michaela Coel,Hannah John-Kamen","An anthology series exploring a twisted, high-tech multiverse where humanity's greatest innovations and darkest instincts collide.",60,Black Mirror,2011–2019
United Kingdom,"Comedy,War",,TV-PG,8.8,"Rowan Atkinson,Stephen Fry,Tony Robinson","Stuck in the middle of World War I, Captain Edmund Blackadder does his best to escape the banality of the war.",175,Blackadder Goes Forth,1989
United States,"Crime,Drama,Mystery",,TV-MA,8.8,"Michael Ontkean,Mädchen Amick,Kyle MacLachlan",An idiosyncratic FBI agent investigates the murder of a young woman in the even more idiosyncratic town of Twin Peaks.,47,Twin Peaks,1990–1991
United States,"Comedy,Drama",,TV-14,8.8,"Linda Cardellini,James Franco,John Francis Daley",A high school mathlete starts hanging out with a group of burnouts while her younger brother navigates his freshman year.,44,Freaks and Geeks,1999–2000
United States,"Animation,Comedy,Drama",,TV-MA,8.8,"Alison Brie,Will Arnett,Amy Sedaris","BoJack Horseman was the star of the hit television show ""Horsin' Around"" in the '80s and '90s, but now he's washed up, living in Hollywood, complaining about everything, and wearing colorful...",25,BoJack Horseman,2014–2020
United Kingdom,"Drama,Romance",,TV-PG,8.8,"Susannah Harker,Jennifer Ehle,Colin Firth","While the arrival of wealthy gentlemen sends her marriage-minded mother into a frenzy, willful and opinionated Elizabeth Bennet matches wits with haughty Mr. Darcy.",327,Pride and Prejudice,1995
United States,"Comedy,Drama",,TV-MA,8.8,"Nicholas Braun,Brian Cox,Kieran Culkin","The Roy family is known for controlling the biggest media and entertainment company in the world. However, their world changes when their father steps down from the company.",60,Succession,2018–2023
