actor,country,description,genre,original_title,public,score,time,title,year
"Harrison Ford,Mark Hamill,Carrie Fisher",United States,"After rescuing Han Solo from Jabba the Hutt, the Rebels attempt to destroy the second Death Star, while Luke struggles to help Darth Vader back from the dark side.","Action,Adventure,Fantasy",Star Wars: Return of the Jedi,PG,8.3,2h 11m,Star Wars: Episode VI - Return of the Jedi,1983
"Boluwatife Treasure Bankole,Yordanos Shiferaw,Zain Al Rafeea","Lebanon,France,Cyprus,Qatar,United Kingdom","While serving a five-year sentence for a violent crime, a 12-year-old boy sues his parents for neglect.",Drama,Chaos,R,8.4,2h 6m,Capernaum,2018
"Keir Dullea,William Sylvester,Gary Lockwood","United Kingdom,United States","After uncovering a mysterious artifact buried beneath the Lunar surface, a spacecraft is sent to Jupiter to find its origins - a spacecraft manned by two men and the supercomputer H.A.L. 900...","Adventure,Sci-Fi",How the Solar System Was Won,G,8.3,2h 29m,2001: A Space Odyssey,1968
"Tatsuya Nakadai,Toshirô Mifune,Yutaka Sada",Japan,An executive of a Yokohama shoe company becomes a victim of extortion when his chauffeur's son is kidnapped by mistake and held for ransom.,"Crime,Drama,Mystery",Између неба и земље,Not Rated,8.4,2h 23m,High and Low,1963
"Tom Hanks,Joan Cusack,Tim Allen","United States,Japan","The toys are mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and it's up to Woody to convince the other toys that they weren't abandoned ...","Animation,Adventure,Comedy",Toy Story 3: An IMAX 3D Experience,G,8.3,1h 43m,Toy Story 3,2010
"Aleksey Kravchenko,Olga Mironova,Liubomiras Laucevicius",Soviet Union,"After finding an old rifle, a young boy joins the Soviet resistance movement against ruthless German forces and experiences the horrors of World War II.","Drama,Thriller,War",Pojdi in glej,Not Rated,8.4,2h 22m,Come and See,1985
"Ryo Narita,Mone Kamishiraishi,Ryunosuke Kamiki",Japan,"Two strangers find themselves linked in a bizarre way. When a connection forms, will distance be the only thing to keep them apart?","Animation,Drama,Fantasy",Tên Cậu Là Gì?,TV-PG,8.4,1h 46m,Your Name.,2016
"Debbie Reynolds,Donald O'Connor,Gene Kelly",United States,A silent film star falls for a chorus girl just as he and his delusionally jealous screen partner are trying to make the difficult transition to talking pictures in 1920s Hollywood.,"Comedy,Musical,Romance",Pojmo v dežju,G,8.3,1h 43m,Singin' in the Rain,1952
"Jared Leto,Jennifer Connelly,Ellen Burstyn",United States,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Drama,Nguyện Cầu Cho Một Giấc Mơ,Unrated,8.3,1h 42m,Requiem for a Dream,2000
"Yûko Tanaka,Yôji Matsuda,Yuriko Ishida",Japan,"On a journey to find the cure for a Tatarigami's curse, Ashitaka finds himself in the middle of a war between the forest gods and Tatara, a mining colony. In this quest he also meets San, th...","Animation,Action,Adventure",Công Chúa Mononoke,PG-13,8.3,2h 14m,Princess Mononoke,1997
"Aamir Khan,Madhavan,Mona Singh",India,"Two friends are searching for their long lost companion. They revisit their college days and recall the memories of their friend who inspired them to think differently, even as the rest of t...","Comedy,Drama",3 Chàng Ngốc,PG-13,8.4,2h 50m,3 Idiots,2009
"Matt Damon,Ben Affleck,Robin Williams",United States,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.","Drama,Romance",Chàng Will Tốt Bụng,R,8.3,2h 6m,Good Will Hunting,1997
"Robert De Niro,James Woods,Elizabeth McGovern","Italy,United States","A former Prohibition-era Jewish gangster returns to the Lower East Side of Manhattan 35 years later, where he must once again confront the ghosts and regrets of his old life.","Crime,Drama",Bilo je nekoč v Ameriki,R,8.3,3h 49m,Once Upon a Time in America,1984
"Mark Ruffalo,Robert Downey Jr.,Chris Evans",United States,"After the devastating events of Avengers: Infinity War (2018), the universe is in ruins. With the help of remaining allies, the Avengers assemble once more in order to reverse Thanos' action...","Action,Adventure,Drama",Avengers 4,PG-13,8.4,3h 1m,Avengers: Endgame,2019
"Herbert Grönemeyer,Jürgen Prochnow,Klaus Wennemann","West Germany,Italy,France,United Kingdom",A German U-boat stalks the frigid waters of the North Atlantic as its young crew experience the sheer terror and claustrophobic life of a submariner in World War II.,"Drama,War",The Boat,1981,8.4,2h 29m,Das Boot,1981
"Sophie Marceau,Mel Gibson,Patrick McGoohan",United States,Scottish warrior William Wallace leads his countrymen in a rebellion to free his homeland from the tyranny of King Edward I of England.,"Biography,Drama,History",Trái Tim Dũng Cảm,R,8.4,2h 58m,Braveheart,1995
"Elizabeth Berridge,F. Murray Abraham,Tom Hulce","United States,France,Italy","The life, success and troubles of Wolfgang Amadeus Mozart, as told by Antonio Salieri, the contemporaneous composer who was deeply jealous of Mozart's talent and claimed to have murdered him...","Biography,Drama,Music",Peter Shaffer's Amadeus,PG,8.4,2h 40m,Amadeus,1984
"Anthony Gonzalez,Gael García Bernal,Benjamin Bratt","United States,Japan","Aspiring musician Miguel, confronted with his family's ancestral ban on music, enters the Land of the Dead to find his great-great-grandfather, a legendary singer.","Animation,Adventure,Comedy",Untitled Dia de los Muertos Project,PG,8.4,1h 45m,Coco,2017
"Eli Roth,Brad Pitt,Diane Kruger","Germany,United States","In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","Adventure,Drama,War",Inglorious Bastards,R,8.3,2h 33m,Inglourious Basterds,2009
"Yoo Ji-tae,Kang Hye-jeong,Choi Min-sik",South Korea,"After being kidnapped and imprisoned for fifteen years, Oh Dae-Su is released, only to find that he must find his captor in five days.","Action,Drama,Mystery",Old Boy,R,8.4,2h,Oldboy,2003
"George C. Scott,Sterling Hayden,Peter Sellers","United Kingdom,United States","An insane American general orders a bombing attack on the Soviet Union, triggering a path to nuclear holocaust that a war room full of politicians and generals frantically tries to stop.","Comedy,War",Dr. Strangelove,PG,8.4,1h 35m,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964
"Tom Hanks,Don Rickles,Tim Allen","United States,Japan",A cowboy doll is profoundly threatened and jealous when a new spaceman action figure supplants him as top toy in a boy's bedroom.,"Animation,Adventure,Comedy",Toy Story in 3-D,G,8.3,1h 21m,Toy Story,1995
"Tom Hardy,Anne Hathaway,Christian Bale","United States,United Kingdom","Eight years after the Joker's reign of chaos, Batman is coerced out of exile with the assistance of the mysterious Selina Kyle in order to defend Gotham City from the vicious guerrilla terro...","Action,Drama,Thriller",Arkham,PG-13,8.4,2h 44m,The Dark Knight Rises,2012
"Joaquin Phoenix,Zazie Beetz,Robert De Niro","United States,Canada","The rise of Arthur Fleck, from aspiring stand-up comedian and pariah to Gotham's clown prince and leader of the revolution.","Crime,Drama,Thriller",Guasón,R,8.4,2h 2m,Joker,2019
"Sigourney Weaver,Michael Biehn,Carrie Henn","United Kingdom,United States","Decades after surviving the Nostromo incident, Ellen Ripley is sent out to re-establish contact with a terraforming colony but finds herself battling the Alien Queen and her offspring.","Action,Adventure,Sci-Fi",Alien 2,R,8.4,2h 17m,Aliens,1986
"Kevin Spacey,Annette Bening,Thora Birch",United States,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Drama,Vẻ Đẹp Mỹ,R,8.4,2h 2m,American Beauty,1999
"Hailee Steinfeld,Jake Johnson,Shameik Moore","Canada,United States","Teen Miles Morales becomes the Spider-Man of his universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.","Animation,Action,Adventure",Người Nhện: Vũ Trụ Mới,PG,8.4,1h 57m,Spider-Man: Into the Spider-Verse,2018
"Marlene Dietrich,Tyrone Power,Charles Laughton",United States,A veteran British barrister must defend his client in a murder trial that has surprise after surprise.,"Crime,Drama,Mystery",Сведок оптужбе,Approved,8.4,1h 56m,Witness for the Prosecution,1957
"Shelley Duvall,Danny Lloyd,Jack Nicholson","United Kingdom,United States","A family heads to an isolated hotel for the winter where a sinister presence influences the father into violence, while his psychic son sees horrific forebodings from both past and future.","Drama,Horror",Исијавање,R,8.4,2h 26m,The Shining,1980
"Jeff Garlin,Elissa Knight,Ben Burtt","United States,Japan","In the distant future, a small waste-collecting robot inadvertently embarks on a space journey that will ultimately decide the fate of mankind.","Animation,Adventure,Family",Wall-E,G,8.4,1h 38m,WALL·E,2008
"Jack Oakie,Charles Chaplin,Paulette Goddard",United States,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"Comedy,Drama,War",The Dictator,G,8.4,2h 5m,The Great Dictator,1940
"Sebastian Koch,Ulrich Mühe,Martina Gedeck","Germany,France","In 1984 East Berlin, an agent of the secret police, conducting surveillance on a writer and his lover, finds himself becoming increasingly absorbed by their lives.","Drama,Mystery,Thriller",Khoảnh Khắc Cuộc Đời,R,8.4,2h 17m,The Lives of Others,2006
"Gloria Swanson,William Holden,Erich von Stroheim",United States,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,"Drama,Film-Noir",Sunset Boulevard,Passed,8.4,1h 50m,Sunset Blvd.,1950
"Paul Freeman,Harrison Ford,Karen Allen",United States,"In 1936, archaeologist and adventurer Indiana Jones is hired by the U.S. government to find the Ark of the Covenant before the Nazis can obtain its awesome powers.","Action,Adventure",Indiana Jones and the Raiders of the Lost Ark,PG,8.4,1h 55m,Raiders of the Lost Ark,1981
