actor,country,description,genre,original_title,public,score,time,title,year
"Aaron Eckhart,Heath Ledger,Christian Bale","United States,United Kingdom","When the menace known as the Joker wreaks havoc and chaos on the people of Gotham, Batman must accept one of the greatest psychological and physical tests of his ability to fight injustice.","Action,Crime,Drama",Batman Begins 2,PG-13,9.0,2h 32m,The Dark Knight,2008
"Henry Fonda,Martin Balsam,Lee J. Cobb",United States,The jury in a New York City murder trial is frustrated by a single member whose skeptical caution forces them to more carefully consider the evidence before jumping to a hasty verdict.,"Crime,Drama",Twelve Angry Men,Approved,9.0,1h 36m,12 Angry Men,1957
"Robert De Niro,Al Pacino,Robert Duvall",United States,"The early life and career of Vito Corleone in 1920s New York City is portrayed, while his son, Michael, expands and tightens his grip on the family crime syndicate.","Crime,Drama",Mario Puzo's the Godfather Part II,R,9.0,3h 22m,The Godfather Part II,1974
"Ralph Fiennes,Ben Kingsley,Liam Neeson",United States,"In German-occupied Poland during World War II, industrialist Oskar Schindler gradually becomes concerned for his Jewish workforce after witnessing their persecution by the Nazis.","Biography,Drama,History",La lista de Schindler,R,9.0,3h 15m,Schindler's List,1993
"Marlon Brando,James Caan,Al Pacino",United States,The aging patriarch of an organized crime dynasty in postwar New York City transfers control of his clandestine empire to his reluctant youngest son.,"Crime,Drama",Mario Puzo's The Godfather,R,9.2,2h 55m,The Godfather,1972
"Uma Thurman,John Travolta,Samuel L. Jackson",United States,"The lives of two mob hitmen, a boxer, a gangster and his wife, and a pair of diner bandits intertwine in four tales of violence and redemption.","Crime,Drama",Black Mask,R,8.9,2h 34m,Pulp Fiction,1994
"Tim Robbins,Morgan Freeman,Bob Gunton",United States,"Over the course of several years, two convicts form a friendship, seeking consolation and, eventually, redemption through basic compassion.",Drama,Rita Hayworth and Shawshank Redemption,R,9.3,2h 22m,The Shawshank Redemption,1994
"Viggo Mortensen,Elijah Wood,Ian McKellen","New Zealand,United States",Gandalf and Aragorn lead the World of Men against Sauron's army to draw his gaze from Frodo and Sam as they approach Mount Doom with the One Ring.,"Action,Adventure,Drama",The Return of the King,PG-13,9.0,3h 21m,The Lord of the Rings: The Return of the King,2003
"Elijah Wood,Orlando Bloom,Ian McKellen","New Zealand,United States",A meek Hobbit from the Shire and eight companions set out on a journey to destroy the powerful One Ring and save Middle-earth from the Dark Lord Sauron.,"Action,Adventure,Drama",The Fellowship of the Ring,PG-13,8.8,2h 58m,The Lord of the Rings: The Fellowship of the Ring,2001
"Lee Van Cleef,Clint Eastwood,Eli Wallach","Italy,Spain,West Germany",A bounty hunting scam joins two men in an uneasy alliance against a third in a race to find a fortune in gold buried in a remote cemetery.,"Adventure,Western","The Good, the Ugly, the Bad",Approved,8.8,2h 58m,"The Good, the Bad and the Ugly",1966
"Viggo Mortensen,Elijah Wood,Ian McKellen","New Zealand,United States","While Frodo and Sam edge closer to Mordor with the help of the shifty Gollum, the divided fellowship makes a stand against Sauron's new ally, Saruman, and his hordes of Isengard.","Action,Adventure,Drama",The Two Towers,PG-13,8.8,2h 59m,The Lord of the Rings: The Two Towers,2002
"Harrison Ford,Mark Hamill,Carrie Fisher",United States,"After the Rebels are overpowered by the Empire, Luke Skywalker begins his Jedi training with Yoda, while his friends are pursued across the galaxy by Darth Vader and bounty hunter Boba Fett.","Action,Adventure,Fantasy",The Empire Strikes Back,PG,8.7,2h 4m,Star Wars: Episode V - The Empire Strikes Back,1980
"Elliot Page,Joseph Gordon-Levitt,Leonardo DiCaprio","United States,United Kingdom","A thief who steals corporate secrets through the use of dream-sharing technology is given the inverse task of planting an idea into the mind of a C.E.O., but his tragic past may doom the pro...","Action,Adventure,Sci-Fi",Inception: The IMAX Experience,PG-13,8.8,2h 28m,Inception,2010
"Mikhail Bychkov,Maksim Munzuk,Yuriy Solomin","Soviet Union,Japan",The Russian army sends an explorer on an expedition to the snowy Siberian wilderness where he makes friends with a seasoned local hunter.,"Adventure,Biography,Drama","Uzala, der Kirgise",G,8.2,2h 22m,Dersu Uzala,1975
"Tom Hanks,Gary Sinise,Robin Wright",United States,"The presidencies of Kennedy and Johnson, the Vietnam War, the Watergate scandal and other historical events unfold from the perspective of an Alabama man with an IQ of 75, whose only desire ...","Drama,Romance",Cuộc Đời Forrest Gump,PG-13,8.8,2h 22m,Forrest Gump,1994
"Graham Greene,Kevin Costner,Mary McDonnell","United States,United Kingdom","Lieutenant John Dunbar, assigned to a remote western Civil War outpost, finds himself engaging with a neighbouring Sioux settlement, causing him to question his own purpose.","Adventure,Drama,Western",Khiêu Vũ Với Bầy Sói,PG-13,8.0,3h 1m,Dances with Wolves,1990
"Edward Norton,Brad Pitt,Meat Loaf","Germany,United States",An insomniac office worker and a devil-may-care soap maker form an underground fight club that evolves into much more.,Drama,Sàn Đấu Sinh Tử,R,8.8,2h 19m,Fight Club,1999
"Robin Williams,Linda Larkin,Scott Weinger","United States,Japan",A kindhearted street urchin and a power-hungry Grand Vizier vie for a magic lamp that has the power to make their deepest wishes come true.,"Animation,Adventure,Comedy",Alovuddin,G,8.0,1h 30m,Aladdin,1992
"Keanu Reeves,Carrie-Anne Moss,Laurence Fishburne","United States,Australia","When a beautiful stranger leads computer hacker Neo to a forbidding underworld, he discovers the shocking truth--the life he knows is the elaborate deception of an evil cyber-intelligence.","Action,Sci-Fi",Ma Trận,R,8.7,2h 16m,The Matrix,1999
"Harry Connick Jr.,Jennifer Aniston,Eli Marienthal","United States,Denmark",A young boy befriends a giant robot from outer space that a paranoid government agent wants to destroy.,"Animation,Action,Adventure",Người Máy Khổng Lồ,PG,8.1,1h 26m,The Iron Giant,1999
"Octavia Spencer,Viola Davis,Emma Stone","United States,India","An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African American maids' point of view on the white families for which they work, and th...",Drama,Người Giúp Việc,PG-13,8.1,2h 26m,The Help,2011
"Graham Chapman,Michael Palin,John Cleese",United Kingdom,"Born on the original Christmas in the stable next door to Jesus Christ, Brian of Nazareth spends his life being mistaken for a messiah.",Comedy,Monty Python's Life of Brian,R,8.0,1h 34m,Life of Brian,1979
"Albert Rémy,Claire Maurier,Jean-Pierre Léaud",France,"A young boy, left without attention, delves into a life of petty crime.","Crime,Drama",The Four Hundred Blows,Not Rated,8.1,1h 39m,The 400 Blows,1959
"Margaretha Krook,Liv Ullmann,Bibi Andersson",Sweden,A nurse is put in charge of a mute actress and finds that their personae are melding together.,"Drama,Thriller",Персона,Not Rated,8.1,1h 23m,Persona,1966
"Walter Connolly,Claudette Colbert,Clark Gable",United States,"A renegade reporter trailing a young runaway heiress for a big story joins her on a bus heading from Florida to New York, and they end up stuck with each other when the bus leaves them behin...","Comedy,Romance",Night Bus,Passed,8.1,1h 45m,It Happened One Night,1934
"Christopher Plummer,Julie Andrews,Eleanor Parker",United States,A young novice is sent by her convent in 1930s Austria to become a governess to the seven children of a widowed naval officer.,"Biography,Drama,Family",Rodgers and Hammerstein's the Sound of Music,G,8.1,2h 52m,The Sound of Music,1965
"George Sanders,Joan Fontaine,Laurence Olivier",United States,A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,"Drama,Film-Noir,Mystery",Ребекка,Approved,8.1,2h 10m,Rebecca,1940
"Paul Newman,Strother Martin,George Kennedy",United States,"A laid back Southern man is sentenced to two years in a rural prison, but refuses to conform.","Crime,Drama",Hladnokrvni kaznjenec,GP,8.1,2h 7m,Cool Hand Luke,1967
"Ha Jung-woo,Kim Min-hee,Cho Jin-woong",South Korea,"A woman is hired as a handmaiden to a Japanese heiress, but secretly she is involved in a plot to defraud her.","Drama,Romance,Thriller",Người Hầu Gái,Not Rated,8.1,2h 25m,The Handmaiden,2016
"Çetin Tekindor,Fikret Kuskan,Hümeyra",Turkey,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,"Drama,Family",Cha Và Con Của Tôi,Not Rated,8.2,1h 52m,My Father and My Son,2005
"Emilio Echevarría,Gael García Bernal,Goya Toledo",Mexico,"A horrific car accident connects three stories, each involving characters dealing with loss, regret, and life's harsh realities, all in the name of love.","Drama,Thriller",Amores perros,R,8.1,2h 34m,Amores Perros,2000
"Henry Fonda,John Carradine,Jane Darwell",United States,"An Oklahoma family, driven off their farm by the poverty and hopelessness of the Dust Bowl, joins the westward migration to California, suffering the misfortunes of the homeless in the Great...",Drama,Highway 66,Passed,8.1,2h 9m,The Grapes of Wrath,1940
"Yacef Saadi,Brahim Hadjadj,Jean Martin","Italy,Algeria","In the 1950s, fear and violence escalate as the people of Algiers fight for independence from the French government.","Drama,War",Alžirska bitka,Not Rated,8.1,2h 1m,The Battle of Algiers,1966
"Karuna Bannerjee,Subir Banerjee,Kanu Bannerjee",India,"Impoverished priest Harihar Ray, dreaming of a better life for himself and his family, leaves his rural Bengal village in search of work.",Drama,Pather Panchali: Song of the Little Road,Not Rated,8.2,2h 5m,Pather Panchali,1955
"Manikandan K.,Suriya,Lijo Mol Jose",India,"When a tribal man is arrested for a case of alleged theft, his wife turns to a human-rights lawyer to help bring justice.","Crime,Drama,Mystery",Джай Бхім,TV-MA,8.8,2h 44m,Jai Bhim,2021
"Hubert Koundé,Vincent Cassel,Saïd Taghmaoui",France,24 hours in the lives of three young men in the French suburbs the day after a violent riot.,"Crime,Drama",Hate,Not Rated,8.1,1h 38m,La haine,1995
"Richard Gere,Joan Allen,Cary-Hiroyuki Tagawa","United Kingdom,United States",A college professor bonds with an abandoned dog he takes into his home.,"Biography,Drama,Family",Hachiko: A Dog's Story,G,8.1,1h 33m,Hachi: A Dog's Tale,2009
"Linda Blair,Max von Sydow,Ellen Burstyn",United States,"When a 12 year old girl is possessed by a mysterious entity, her mother seeks the help of two priests to save her daughter.",Horror,The Exorcist: The Version You Haven't Seen Yet,R,8.1,2h 2m,The Exorcist,1973
"Robert Stack,Jack Benny,Carole Lombard",United States,"During the Nazi occupation of Poland, an acting troupe becomes embroiled in a Polish soldier's efforts to track down a German spy.","Comedy,Romance,War",Sein oder Nichtsein,Passed,8.2,1h 39m,To Be or Not to Be,1942
"Orlando Bloom,Geoffrey Rush,Johnny Depp",United States,"Blacksmith Will Turner teams up with eccentric pirate ""Captain"" Jack Sparrow to save his love, the governor's daughter, from Jack's former pirate allies, who are now undead.","Action,Adventure,Fantasy",Pirates of the Caribbean,PG-13,8.1,2h 23m,Pirates of the Caribbean: The Curse of the Black Pearl,2003
"Dana Andrews,Myrna Loy,Fredric March",United States,"Three World War II veterans, two of them traumatized or disabled, return home to the American midwest to discover that they and their families have been irreparably changed.","Drama,Romance,War",Glory for Me,Approved,8.1,2h 50m,The Best Years of Our Lives,1946
"Samuel L. Jackson,Holly Hunter,Craig T. Nelson","United States,Japan","While trying to lead a quiet suburban life, a family of undercover superheroes are forced into action to save the world.","Animation,Action,Adventure",The Fantastics,PG,8.0,1h 55m,The Incredibles,2004
"Frank Morgan,Ray Bolger,Judy Garland",United States,"Young Dorothy Gale and her dog Toto are swept away by a tornado from their Kansas farm to the magical Land of Oz, and embark on a quest with three new friends to see the Wizard, who can retu...","Adventure,Family,Fantasy",Čarovnik iz Oza,G,8.1,1h 42m,The Wizard of Oz,1939
"Julie Delpy,Vernon Dobtcheff,Ethan Hawke","United States,France","Nine years after Jesse and Celine first met, they encounter each other again on the French leg of Jesse's book tour.","Drama,Romance",Before Sunrise 2,R,8.1,1h 20m,Before Sunset,2004
"Catherine Keener,Emile Hirsch,Vince Vaughn",United States,"After graduating from Emory University, top student and athlete Christopher McCandless abandons his possessions, gives his entire $24,000 savings account to charity and hitchhikes to Alaska ...","Adventure,Biography,Drama",Về Với Thiên Nhiên,R,8.1,2h 28m,Into the Wild,2007
"Bill Murray,Chris Elliott,Andie MacDowell",United States,"A narcissistic, self-centered weatherman finds himself in a time loop on Groundhog Day, and the day keeps repeating until he gets it right.","Comedy,Drama,Fantasy",Ngày Chuột Chũi,PG,8.0,1h 41m,Groundhog Day,1993
"Chris Hemsworth,Daniel Brühl,Olivia Wilde","United Kingdom,United States",The merciless 1970s rivalry between Formula One rivals James Hunt and Niki Lauda.,"Action,Biography,Drama",Đường Đua Nghẹt Thở,R,8.1,2h 3m,Rush,2013
"Corey Feldman,Wil Wheaton,River Phoenix",United States,"After the death of one of his friends, a writer recounts a childhood journey with his friends to find the body of a missing boy.","Adventure,Drama",The Body,R,8.1,1h 29m,Stand by Me,1986
"William Holden,Peter Finch,Faye Dunaway",United States,"A television network cynically exploits a deranged former anchor's ravings and revelations about the news media for its own profit, but finds that his message may be difficult to control.",Drama,Televizijska mreža,R,8.1,2h 1m,Network,1976
"Patrick Stewart,Dafne Keen,Hugh Jackman",United States,"In a future where mutants are nearly extinct, an elderly and weary Logan leads a quiet life. But when Laura, a mutant child pursued by scientists, comes to him for help, he must get her to s...","Action,Drama,Sci-Fi",Wolverine 3,R,8.1,2h 17m,Logan,2017
"Linda Hamilton,Michael Biehn,Arnold Schwarzenegger","United Kingdom,United States","A human soldier is sent from 2029 to 1984 to stop an almost indestructible cyborg killing machine, sent from the same year, which has been programmed to execute a young woman whose unborn so...","Action,Sci-Fi",Terminator,R,8.1,1h 47m,The Terminator,1984
"Michael Keaton,Mark Ruffalo,Rachel McAdams",United States,"The true story of how the Boston Globe uncovered the massive scandal of child molestation and cover-up within the local Catholic Archdiocese, shaking the entire Catholic Church to its core.","Biography,Crime,Drama",Tiêu Điểm,R,8.1,2h 9m,Spotlight,2015
"Willem Dafoe,Tom Berenger,Charlie Sheen","United States,United Kingdom","Chris Taylor, a neophyte recruit in Vietnam, finds himself caught in a battle of wills between two sergeants, one good and the other evil. A shrewd examination of the brutality of war and th...","Drama,War",The Platoon,R,8.1,2h,Platoon,1986
"Sylvester Stallone,Burt Young,Talia Shire",United States,A small-time Philadelphia boxer gets a supremely rare chance to fight the world heavyweight champion in a bout in which he strives to go the distance for his self-respect.,"Drama,Sport",Роки,PG,8.1,2h,Rocky,1976
"Brad Garrett,Patton Oswalt,Lou Romano",United States,A rat who can cook makes an unusual alliance with a young kitchen worker at a famous Paris restaurant.,"Animation,Adventure,Comedy",Untitled Rodent Project,G,8.1,1h 51m,Ratatouille,2007
"Matt Damon,Jon Bernthal,Christian Bale",United States,American car designer Carroll Shelby and driver Ken Miles battle corporate interference and the laws of physics to build a revolutionary race car for Ford in order to defeat Ferrari at the 2...,"Action,Biography,Drama",Ford Versus Ferrari,PG-13,8.1,2h 32m,Ford v Ferrari,2019
"Don Cheadle,Joaquin Phoenix,Sophie Okonedo","United Kingdom,South Africa,Italy,United States","Paul Rusesabagina, a hotel manager, houses over a thousand Tutsi refugees during their struggle against the Hutu militia in Rwanda, Africa.","Biography,Drama,History",Khách Sạn Rwanda,PG-13,8.1,2h 1m,Hotel Rwanda,2004
"Eugene Silvain,Maria Falconetti,André Berley",France,"In 1431, Jeanne d'Arc is placed on trial on charges of heresy. The ecclesiastical jurists attempt to force Jeanne to recant her claims of holy visions.","Biography,Drama,History",The Immortal Saint,Passed,8.2,1h 54m,The Passion of Joan of Arc,1928
"Chieko Higashiyama,Chishû Ryû,Sô Yamamura",Japan,"An old couple visit their children and grandchildren in the city, but receive little attention.",Drama,Токијска прича,Not Rated,8.2,2h 16m,Tokyo Story,1953
"Sean Bridgers,Jacob Tremblay,Brie Larson","Ireland,Canada,United Kingdom,United States","A little boy is held captive in a room with his mother since his birth, so he has never known the world outside.","Drama,Thriller",La habitación,R,8.1,1h 58m,Room,2015
"Robert Sean Leonard,Robin Williams,Ethan Hawke",United States,Maverick teacher John Keating uses poetry to embolden his boarding school students to new heights of self-expression.,"Comedy,Drama",Der Club der toten Dichter,PG,8.1,2h 8m,Dead Poets Society,1989
"Roy Scheider,Robert Shaw,Richard Dreyfuss",United States,"When a killer shark unleashes chaos on a beach community off Cape Cod, it's up to a local sheriff, a marine biologist, and an old seafarer to hunt the beast down.","Adventure,Thriller",Stillness in the Water,PG,8.1,2h 4m,Jaws,1975
"Gerard Butler,Jay Baruchel,Christopher Mintz-Plasse","United States,France","A hapless young Viking who aspires to hunt dragons becomes the unlikely friend of a young dragon himself, and learns there may be more to the creatures than he assumed.","Animation,Action,Adventure",How to Train Your Dragon: An IMAX 3D Experience,PG,8.1,1h 38m,How to Train Your Dragon,2010
"Jeff Bridges,John Goodman,Julianne Moore","United States,United Kingdom","Ultimate L.A. slacker Jeff ""The Dude"" Lebowski, mistaken for a millionaire of the same name, seeks restitution for a rug ruined by debt collectors, enlisting his bowling buddies for help whi...","Comedy,Crime",Bá Tước Lebowski,R,8.1,1h 57m,The Big Lebowski,1998
"John Goodman,Mary Gibbs,Billy Crystal","United States,Japan","In order to power the city, monsters have to scare children so that they scream. However, the children are toxic to the monsters, and after a child gets through, two monsters realize things ...","Animation,Adventure,Comedy","Monsters, Inc. 3D",G,8.1,1h 32m,"Monsters, Inc.",2001
"Gunnar Björnstrand,Max von Sydow,Bengt Ekerot",Sweden,"A knight returning to Sweden after the Crusades seeks answers about life, death, and the existence of God as he plays chess against the Grim Reaper during the Black Plague.","Drama,Fantasy",Sedmi pečat,Not Rated,8.1,1h 36m,The Seventh Seal,1957
"Eric Bana,Toni Collette,Philip Seymour Hoffman",Australia,"A tale of friendship between two unlikely pen pals: Mary, a lonely, eight-year-old girl living in the suburbs of Melbourne, and Max, a forty-four-year old, severely obese man living in New Y...","Animation,Comedy,Drama",Mary Và Max,Not Rated,8.1,1h 32m,Mary and Max,2009
"James Stewart,Jean Arthur,Claude Rains",United States,"A naive youth leader is appointed to fill a vacancy in the U.S. Senate. His idealistic plans promptly collide with corruption at home and subterfuge from his hero in Washington, but he tries...","Comedy,Drama",Frank Capra's Mr. Smith Goes to Washington,Passed,8.1,2h 9m,Mr. Smith Goes to Washington,1939
"Tom Hardy,Charlize Theron,Nicholas Hoult",Australia,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler in search for her homeland with the aid of a group of female prisoners, a psychotic worshiper and a drifter named M...","Action,Adventure,Sci-Fi",Max Điên: Con Đường Tử Thần,R,8.1,2h,Mad Max: Fury Road,2015
"Kathryn McGuire,Buster Keaton,Joe Keaton",United States,"A film projectionist longs to be a detective, and puts his meagre skills to work when he is framed by a rival for stealing his girlfriend's father's pocketwatch.","Action,Comedy,Romance",The Misfit,Passed,8.2,45m,Sherlock Jr.,1924
"Darío Grandinetti,María Marull,Mónica Villa","Argentina,Spain,France,United Kingdom",Six short stories that explore the extremities of human behavior involving people in distress.,"Comedy,Drama,Thriller",Pasternak,R,8.1,2h 2m,Wild Tales,2014
"Peter van Eyck,Charles Vanel,Yves Montand","France,Italy","In a decrepit South American village, four men are hired to transport an urgent nitroglycerine shipment without the equipment that would make it safe.","Adventure,Drama,Thriller",Plačilo za strah,Not Rated,8.2,2h 11m,The Wages of Fear,1953
"Roe-ha Kim,Song Kang-ho,Kim Sang-kyung",South Korea,"In a small Korean province in 1986, two detectives struggle with the case of multiple young women being found raped and murdered by an unknown culprit.","Crime,Drama,Mystery",Hồi Ức Kẻ Sát Nhân,Not Rated,8.1,2h 12m,Memories of Murder,2003
"Andrew Garfield,Sam Worthington,Luke Bracey","Australia,United States,United Kingdom,China","World War II American Army Medic Desmond T. Doss, who served during the Battle of Okinawa, refuses to kill people and becomes the first man in American history to receive the Medal of Honor ...","Biography,Drama,History",Người Hùng Không Súng,R,8.1,2h 19m,Hacksaw Ridge,2016
"John Cazale,Robert De Niro,Christopher Walken","United States,United Kingdom",An in-depth examination of the ways in which the Vietnam War impacts and disrupts the lives of several friends in a small steel mill town in Pennsylvania.,"Drama,War",The Man Who Came to Play,R,8.1,3h 3m,The Deer Hunter,1978
"Daniel Day-Lewis,Alison Crosbie,Pete Postlethwaite","Ireland,United Kingdom",A man's coerced confession to an I.R.A. bombing he did not commit results in the imprisonment of his father as well. An English lawyer fights to free them.,"Biography,Crime,Drama",En el nombre del padre,R,8.1,2h 13m,In the Name of the Father,1993
"Joseph Cotten,Alida Valli,Orson Welles",United Kingdom,"Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.","Film-Noir,Mystery,Thriller",The 3rd Man,Approved,8.1,1h 33m,The Third Man,1949
"Buster Keaton,Glen Cavender,Marion Mack",United States,"After being rejected by the Confederate military, not realizing it was due to his crucial civilian role, an engineer must single-handedly recapture his beloved locomotive after it is seized ...","Action,Adventure,Comedy",The Engine Driver,Passed,8.1,1h 7m,The General,1926
"Bibi Andersson,Ingrid Thulin,Victor Sjöström",Sweden,"After living a life marked by coldness, an aging professor is forced to confront the emptiness of his existence.","Drama,Romance",Divje jagode,Not Rated,8.1,1h 31m,Wild Strawberries,1957
"Neil Patrick Harris,Ben Affleck,Rosamund Pike",United States,"With his wife's disappearance having become the focus of an intense media circus, a man sees the spotlight turned on him when it's suspected that he may not be innocent.","Drama,Mystery,Thriller",Cô Gái Mất Tích,R,8.1,2h 29m,Gone Girl,2014
"Stephen Boyd,Charlton Heston,Jack Hawkins",United States,"After a Jewish prince is betrayed and sent into slavery by a Roman friend in 1st-century Jerusalem, he regains his freedom and comes back for revenge.","Adventure,Drama",Ben-Hur: A Tale of the Christ,G,8.1,3h 32m,Ben-Hur,1959
"Ryan O'Neal,Patrick Magee,Marisa Berenson","United Kingdom,United States",An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"Adventure,Drama,War",Баррі Ліндон,PG,8.1,3h 5m,Barry Lyndon,1975
"Marlon Brando,Karl Malden,Lee J. Cobb",United States,"An ex-prize fighter turned New Jersey longshoreman struggles to stand up to his corrupt union bosses, including his older brother, as he starts to connect with the grieving sister of one of ...","Crime,Drama,Thriller",Bottom of the River,Approved,8.1,1h 48m,On the Waterfront,1954
"Daniel Radcliffe,Emma Watson,Rupert Grint","United Kingdom,United States","Harry, Ron, and Hermione search for Voldemort's remaining Horcruxes in their effort to destroy the Dark Lord as the final battle rages on at Hogwarts.","Adventure,Family,Fantasy",Harry Potter and the Deathly Hallows: Part 2 3D,PG-13,8.1,2h 10m,Harry Potter and the Deathly Hallows: Part 2,2011
"Julie Delpy,Andrea Eckert,Ethan Hawke","United States,Austria","A young man and woman meet on a train in Europe, and wind up spending one evening together in Vienna. Unfortunately, both know that this will probably be their only night together.","Drama,Romance",Antes del amanecer,R,8.1,1h 41m,Before Sunrise,1995
"Ralph Fiennes,Mathieu Amalric,F. Murray Abraham","United States,Germany","A writer encounters the owner of an aging high-class hotel, who tells him of his early years serving as a lobby boy in the hotel's glorious years under an exceptional concierge.","Adventure,Comedy,Crime",Khách Sạn Đế Vương,R,8.1,1h 39m,The Grand Budapest Hotel,2014
"Chiwetel Ejiofor,Michael Kenneth Williams,Michael Fassbender","United States,United Kingdom","In the antebellum United States, Solomon Northup, a free black man from upstate New York, is abducted and sold into slavery.","Biography,Drama,History",Twelve Years a Slave,R,8.1,2h 14m,12 Years a Slave,2013
"J.K. Simmons,Jason Schwartzman,Rashida Jones","Spain,United Kingdom,United States","A simple act of kindness always sparks another, even in a frozen, faraway place. When Smeerensburg's new postman, Jesper, befriends toymaker Klaus, their gifts melt an age-old feud and deliv...","Animation,Adventure,Comedy",Klaus - Câu Chuyện Giáng Sinh,PG,8.2,1h 36m,Klaus,2019
"Harrison Ford,Sean Young,Rutger Hauer",United States,A blade runner must pursue and terminate four replicants who stole a ship in space and have returned to Earth to find their creator.,"Action,Drama,Sci-Fi",Dangerous Days,R,8.1,1h 57m,Blade Runner,1982
"Hilary Swank,Clint Eastwood,Morgan Freeman",United States,A determined woman works with a hardened boxing trainer to become a professional.,"Drama,Sport",Rope Burns,PG-13,8.1,2h 12m,Million Dollar Baby,2004
"Mack Swain,Charles Chaplin,Tom Murray",United States,"A prospector goes to the Klondike during the 1890s gold rush in hopes of making his fortune, and is smitten with a girl he sees in a dance hall.","Adventure,Comedy,Drama",Lucky Strike,Passed,8.1,1h 35m,The Gold Rush,1925
"Bahare Seddiqi,Amir Farrokh Hashemian,Mohammad Amir Naji",Iran,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.","Drama,Family,Sport",The Children of Heaven,PG,8.2,1h 29m,Children of Heaven,1997
"Keanu Reeves,George Georgiou,Laurence Fishburne","United States,Germany","John Wick uncovers a path to defeating The High Table. But before he can earn his freedom, Wick must face off against a new enemy with powerful alliances across the globe and forces that tur...","Action,Crime,Thriller",Sát Thủ John Wick: Chương 4,R,8.2,2h 49m,John Wick: Chapter 4,2023
"William H. Macy,Frances McDormand,Steve Buscemi","United States,United Kingdom",Minnesota car salesman Jerry Lundegaard's inept crime falls apart due to his and his henchmen's bungling and the persistent police work of the quite pregnant Marge Gunderson.,"Crime,Thriller",Thị Trấn Fargo,R,8.1,1h 38m,Fargo,1996
"Jake Gyllenhaal,Viola Davis,Hugh Jackman",United States,"When Keller Dover's daughter and her friend go missing, he takes matters into his own hands as the police pursue multiple leads and the pressure mounts.","Crime,Drama,Mystery",Lần Theo Dấu Vết,R,8.1,2h 33m,Prisoners,2013
"Tom Hanks,Christopher Walken,Leonardo DiCaprio","United States,Canada","Barely 21 yet, Frank is a skilled forger who has passed as a doctor, lawyer and pilot. FBI agent Carl becomes obsessed with tracking down the con man, who only revels in the pursuit.","Biography,Crime,Drama",Hãy Bắt Tôi Nếu Có Thể,PG-13,8.1,2h 21m,Catch Me If You Can,2002
"Chika Sakamoto,Hitoshi Takagi,Noriko Hidaka",Japan,"When two girls move to the country to be near their ailing mother, they have adventures with the wondrous forest spirits who live nearby.","Animation,Comedy,Family",Mi vecino Totoro,G,8.1,1h 26m,My Neighbor Totoro,1988
"William Holden,Alec Guinness,Jack Hawkins","United Kingdom,United States","British POWs are forced to build a railway bridge across the river Kwai for their Japanese captors in occupied Burma, not knowing that the allied forces are planning a daring commando raid t...","Adventure,Drama,War",Die Brücke am Kwai,PG,8.1,2h 41m,The Bridge on the River Kwai,1957
"Tom Hardy,Nick Nolte,Joel Edgerton",United States,"The youngest son of an alcoholic former boxer returns home, where he's trained by his father for competition in a mixed martial arts tournament - a path that puts the fighter on a collision ...","Action,Drama,Sport",Chiến Binh Quyền Anh,PG-13,8.2,2h 20m,Warrior,2011
"Soledad Villamil,Pablo Rago,Ricardo Darín","Argentina,Spain",A retired legal counselor writes a novel hoping to find closure for one of his past unresolved homicide cases and for his unreciprocated love with his superior - both of which still haunt hi...,"Drama,Mystery,Romance",Bí Mật Sau Ánh Mắt,R,8.2,2h 9m,The Secret in Their Eyes,2009
"Sam Rockwell,Frances McDormand,Woody Harrelson","United Kingdom,United States",A mother personally challenges the local authorities to solve her daughter's murder when they fail to catch the culprit.,"Comedy,Crime,Drama",3 Billboards,R,8.1,1h 55m,"Three Billboards Outside Ebbing, Missouri",2017
"Clint Eastwood,Bee Vang,Christopher Carley","Germany,United States","After a Hmong teenager tries to steal his prized 1972 Gran Torino, a disgruntled, prejudiced Korean War veteran seeks to redeem both the boy and himself.",Drama,Ngọt Và Đắng,R,8.1,1h 56m,Gran Torino,2008
"Jonny Lee Miller,Ewan McGregor,Ewen Bremner",United Kingdom,"Renton, deeply immersed in the Edinburgh drug scene, tries to clean up and get out, despite the allure of the drugs and influence of friends.",Drama,Lối Sống Đồi Trụy,R,8.1,1h 33m,Trainspotting,1996
"Amy Poehler,Lewis Black,Bill Hader","United States,Japan","After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and...","Animation,Adventure,Comedy",The Untitled Pixar Movie That Takes You Inside the Mind,PG,8.1,1h 35m,Inside Out,2015
